Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
1604-1628 Rosetree Lane,Carrollton,TX,75006,Land,NEW LISTING,,1/30/2024 9:43:00 AM,2672000,,,,,,2.52,,0,,,https://www.xome.com/landlots-for-sale/1604-1628-Rosetree-Lane-Carrollton-TX-75006-388736770,20519043,N,32.99101,-96.87067
1100 W Trinity Mills Road Unit 2046,Carrollton,TX,75006,Condo,NEW LISTING,,1/29/2024 7:58:00 PM,350000,,,2,2,1100,3.93,2012,0,,,https://www.xome.com/homes-for-sale/1100-W-Trinity-Mills-Road-Unit-2046-Carrollton-TX-75006-388732108,20523074,N,32.9849,-96.91365
1100 W Trinity Mills Road Unit 2026,Carrollton,TX,75006,Condo,NEW LISTING,,1/29/2024 2:10:00 PM,350000,,,2,1,1100,3.93,2012,0,,,https://www.xome.com/homes-for-sale/1100-W-Trinity-Mills-Road-Unit-2026-Carrollton-TX-75006-388729038,20522855,N,32.9842,-96.91409
1100 W Trinity Mills Road Unit 2025,Carrollton,TX,75006,Condo,NEW LISTING,,1/29/2024 10:08:00 AM,375000,,,3,2,1300,3.93,2012,1,,,https://www.xome.com/homes-for-sale/1100-W-Trinity-Mills-Road-Unit-2025-Carrollton-TX-75006-388726712,20522502,N,32.98407,-96.91409
2039 Statler Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,1/28/2024 4:36:00 PM,330000,,,3,2,1796,0.272,1973,1,,,https://www.xome.com/homes-for-sale/2039-Statler-Drive-Carrollton-TX-75007-388708365,20521845,N,32.9921,-96.8832
2507 Hightrail Drive,Carrollton,TX,75006,Single Family,NEW LISTING,,1/28/2024 1:22:00 PM,430000,,,3,2,1574,0.201,1969,1,,,https://www.xome.com/homes-for-sale/2507-Hightrail-Drive-Carrollton-TX-75006-388707405,20522047,N,32.98207,-96.8886
2126 Travis Drive,Carrollton,TX,75006,Single Family,NEW LISTING,,1/28/2024 10:20:00 AM,350000,,,3,2,1512,0.161,1966,2,,,https://www.xome.com/homes-for-sale/2126-Travis-Drive-Carrollton-TX-75006-388706336,20521998,N,32.94954,-96.88257
2256 Madison Street,Carrollton,TX,75010,Single Family,NEW LISTING,,1/27/2024 9:31:00 PM,675000,,,4,4,2929,0.088,2019,2,,,https://www.xome.com/homes-for-sale/2256-Madison-Street-Carrollton-TX-75010-388700299,20521912,N,33.04156,-96.86853
2309 York Court,Carrollton,TX,75006,Single Family,NEW LISTING,,1/27/2024 10:58:00 AM,515000,,,4,3,2507,0.229,1993,3,,,https://www.xome.com/homes-for-sale/2309-York-Court-Carrollton-TX-75006-388692877,20521090,N,32.97475,-96.86178
2517 Melissa Lane,Carrollton,TX,75006,Single Family,NEW LISTING,,1/26/2024 6:29:00 PM,374900,,,3,3,1437,0.083,1984,3,,,https://www.xome.com/homes-for-sale/2517-Melissa-Lane-Carrollton-TX-75006-388667184,20521522,N,32.97205,-96.86983
2046 Hearthstone Drive,Carrollton,TX,75010,Single Family,NEW LISTING,,1/26/2024 5:28:00 PM,475000,,,4,2,2153,0.208,1989,3,,,https://www.xome.com/homes-for-sale/2046-Hearthstone-Drive-Carrollton-TX-75010-388666352,20514434,N,33.02679,-96.8748
1212 Rooney Lane,Carrollton,TX,75007,Single Family,NEW LISTING,,1/26/2024 1:38:00 PM,495000,,,5,3,3001,0.16,1998,3,,,https://www.xome.com/homes-for-sale/1212-Rooney-Lane-Carrollton-TX-75007-388659367,20520690,N,33.02073,-96.9083
3529 Silverwood Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,1/26/2024 12:38:00 PM,670000,,,4,3,3255,0.193,1999,3,,,https://www.xome.com/homes-for-sale/3529-Silverwood-Drive-Carrollton-TX-75007-388657385,20520917,N,33.0082,-96.91599
