Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
622 Meadowview Lane,Coppell,TX,75019,Single Family,NEW LISTING,,1/30/2024 8:00:00 AM,849000,,,4,4,3882,0.568,1987,0,,,https://www.xome.com/homes-for-sale/622-Meadowview-Lane-Coppell-TX-75019-388734446,20518548,N,32.96246,-96.97485
770 Windsor Road,Coppell,TX,75019,Single Family,NEW LISTING,,1/26/2024 2:53:00 PM,799000,,,4,4,3122,0.101,2015,3,,,https://www.xome.com/homes-for-sale/770-Windsor-Road-Coppell-TX-75019-388662426,20520818,N,32.98916,-97.00448
669 W Peninsula Drive,Coppell,TX,75019,Single Family,NEW LISTING,,1/25/2024 5:39:00 PM,1250000,,,5,4,5137,0.557,1995,4,,,https://www.xome.com/homes-for-sale/669-W-Peninsula-Drive-Coppell-TX-75019-388638824,20505186,N,32.98737,-96.97417
225 Pinyon Lane,Coppell,TX,75019,Single Family,NEW LISTING,,1/23/2024 6:05:00 AM,400000,,,3,2,1387,0.291,1983,7,,,https://www.xome.com/homes-for-sale/225-Pinyon-Lane-Coppell-TX-75019-388358143,20517266,N,32.9663,-96.96215
348 Kyra Court,Coppell,TX,75019,Single Family,Active,,1/19/2024 12:49:00 PM,740000,,,5,4,2970,0.407,2019,10,,,https://www.xome.com/homes-for-sale/348-Kyra-Court-Coppell-TX-75019-388277579,20513057,N,32.95261,-96.98437
432 Leisure Lane,Coppell,TX,75019,Single Family,Active,,1/19/2024 11:49:00 AM,450000,,,3,3,1645,0.092,1988,11,,,https://www.xome.com/homes-for-sale/432-Leisure-Lane-Coppell-TX-75019-388275615,20512840,N,32.97173,-97.00226
107 Ripplewood Cove,Coppell,TX,75019,Single Family,Active,,1/19/2024 9:49:00 AM,799000,,,4,3,3321,0.197,1999,11,,,https://www.xome.com/homes-for-sale/107-Ripplewood-Cove-Coppell-TX-75019-388272180,20515173,N,32.9691,-97.00363
230 Samuel Boulevard Unit 6,Coppell,TX,75019,Condo,Active,,1/18/2024 5:59:00 PM,290000,,,2,3,1254,8.26,1984,11,,,https://www.xome.com/homes-for-sale/230-Samuel-Boulevard-Unit-6-Coppell-TX-75019-388036852,20490080,N,32.97423,-96.97418
412 Sandy Knoll Drive,Coppell,TX,75019,Single Family,Active,,1/17/2024 6:25:00 AM,520000,,,3,2,1742,0.161,1979,13,,,https://www.xome.com/homes-for-sale/412-Sandy-Knoll-Drive-Coppell-TX-75019-388205546,20513396,N,32.96563,-96.98184
130 W Braewood Drive,Coppell,TX,75019,Single Family,Active,,1/12/2024 12:48:00 PM,998000,,,4,4,4028,0.259,2011,17,,,https://www.xome.com/homes-for-sale/130-W-Braewood-Drive-Coppell-TX-75019-388115266,20508993,N,32.96646,-96.99537
449 Harris Street Unit 104A,Coppell,TX,75019,Condo,Active,,1/11/2024 6:52:00 AM,260000,,,2,2,1334,3.609,1985,19,,,https://www.xome.com/homes-for-sale/449-Harris-Street-Unit-104A-Coppell-TX-75019-388041944,20510040,N,32.96148,-96.99866
204 Samuel Boulevard Unit i3,Coppell,TX,75019,Condo,Active,Contingent,1/6/2024 8:56:00 AM,259000,,,2,2,1188,8.26,1984,24,,,https://www.xome.com/homes-for-sale/204-Samuel-Boulevard-Unit-i3-Coppell-TX-75019-387935937,20503888,N,32.97305,-96.9735
152 Meadowcreek Road,Coppell,TX,75019,Single Family,Active,,1/5/2024 8:23:00 AM,625000,,,3,3,2075,0.337,1982,25,,,https://www.xome.com/homes-for-sale/152-Meadowcreek-Road-Coppell-TX-75019-387903323,20505193,N,32.95667,-96.98974
716 Snowshill Trail,Coppell,TX,75019,Townhouse,Active,,1/4/2024 8:37:00 PM,565000,,,4,4,3001,0.074,2007,25,,,https://www.xome.com/homes-for-sale/716-Snowshill-Trail-Coppell-TX-75019-387891746,20505625,N,32.98993,-96.97289
414 Woodhurst Drive,Coppell,TX,75019,Single Family,Active,,12/29/2023 7:20:00 PM,475000,,,3,2,1939,0.161,1979,31,,,https://www.xome.com/homes-for-sale/414-Woodhurst-Drive-Coppell-TX-75019-387772429,20501988,N,32.96286,-96.98369
128 Dickens Drive,Coppell,TX,75019,Single Family,Active,,12/9/2023 12:54:00 PM,1200000,,,5,6,4674,0.234,1994,51,,,https://www.xome.com/homes-for-sale/128-Dickens-Drive-Coppell-TX-75019-387251634,20489214,N,32.97132,-96.99037
