Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
2405 Adams Court,Irving,TX,75061,Single Family,NEW LISTING,,1/30/2024 10:00:00 AM,275000,,,4,2,1838,0.161,1959,0,,,https://www.xome.com/homes-for-sale/2405-Adams-Court-Irving-TX-75061-388736589,20523424,N,32.82109,-96.97689
7872 Oxer Drive,Irving,TX,75063,Townhouse,NEW LISTING,,1/29/2024 6:58:00 PM,449900,,,4,4,2273,0.044,2010,0,,,https://www.xome.com/homes-for-sale/7872-Oxer-Drive-Irving-TX-75063-388732104,20523052,N,32.91565,-96.9651
2540 W Rochelle Road,Irving,TX,75062,Single Family,NEW LISTING,,1/29/2024 5:40:00 PM,290000,,,4,2,1381,0.222,1963,0,,,https://www.xome.com/homes-for-sale/2540-W-Rochelle-Road-Irving-TX-75062-388728297,20523022,N,32.84121,-96.98061
615 Baugh Drive,Irving,TX,75039,Townhouse,NEW LISTING,,1/29/2024 6:52:00 AM,544900,,,2,3,1358,0.0283,2023,1,,,https://www.xome.com/homes-for-sale/615-Baugh-Drive-Irving-TX-75039-388714196,20522034,N,32.87035,-96.93415
4245 Madera Road,Irving,TX,75038,Condo,NEW LISTING,,1/28/2024 10:05:00 PM,235900,,,2,3,1135,0.5913,1981,1,,,https://www.xome.com/homes-for-sale/4245-Madera-Road-Irving-TX-75038-388708326,20517275,N,32.8621,-96.98238
2334 Perdue Avenue,Irving,TX,75062,Single Family,NEW LISTING,,1/28/2024 7:37:00 PM,1018722,,,5,5,4024,0.126,2024,1,2/3/2024 1:00:00 PM,2/3/2024 4:00:00 PM,https://www.xome.com/homes-for-sale/2334-Perdue-Avenue-Irving-TX-75062-388709855,20522169,N,32.83921,-96.91766
2201 Southern Oak Drive,Irving,TX,75063,Single Family,NEW LISTING,,1/27/2024 2:29:00 PM,925000,,,4,5,3961,0.15,1990,2,,,https://www.xome.com/homes-for-sale/2201-Southern-Oak-Drive-Irving-TX-75063-388695560,20521747,N,32.91418,-96.97425
400 Kimili Court,Irving,TX,75060,Single Family,NEW LISTING,,1/26/2024 8:46:00 PM,270000,,,3,2,1760,0.178,1986,3,,,https://www.xome.com/homes-for-sale/400-Kimili-Court-Irving-TX-75060-388669772,20521503,N,32.78953,-96.93738
2121 Etain Road,Irving,TX,75060,Single Family,NEW LISTING,,1/26/2024 1:53:00 PM,250000,,,3,2,1092,0.2014,1972,3,,,https://www.xome.com/homes-for-sale/2121-Etain-Road-Irving-TX-75060-388659563,20518294,N,32.78961,-96.98044
4423 Lena Lane,Irving,TX,75038,Townhouse,NEW LISTING,,1/26/2024 10:37:00 AM,950000,,,3,3,3039,0.09,2005,4,,,https://www.xome.com/homes-for-sale/4423-Lena-Lane-Irving-TX-75038-388654277,20518472,N,32.86561,-96.9528
