Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
1405 Wilderness Trail,Crowley,TX,76036,Single Family,NEW LISTING,,12/17/2023 1:29:00 PM,365000,,,5,3,2664,0.22,2001,-1,,,https://www.xome.com/homes-for-sale/1405-Wilderness-Trail-Crowley-TX-76036-387401171,20495758,N,32.55479,-97.35162
1011 Rosita Street,Arlington,TX,76002,Single Family,NEW LISTING,,12/17/2023 12:30:00 PM,395000,,,4,3,2374,0.202,2008,-1,,,https://www.xome.com/homes-for-sale/1011-Rosita-Street-Arlington-TX-76002-387400891,20496260,N,32.61213,-97.09323
601 St Charles Court,Arlington,TX,76013,Condo,NEW LISTING,,12/17/2023 11:59:00 AM,210000,,,2,2,1320,0.071,1974,0,,,https://www.xome.com/homes-for-sale/601-St-Charles-Court-Arlington-TX-76013-387400737,20496101,N,32.72918,-97.14635
4100 Pate Drive,Fort Worth,TX,76119,Single Family,NEW LISTING,,12/17/2023 11:59:00 AM,235000,,,3,2,1104,0.165,1955,0,,,https://www.xome.com/homes-for-sale/4100-Pate-Drive-Fort-Worth-TX-76119-387400736,20496024,N,32.70348,-97.26022
2705 Crystal Glenn Circle,Hurst,TX,76054,Single Family,NEW LISTING,,12/17/2023 11:29:00 AM,441500,,,3,2,1609,0.125,1995,0,,,https://www.xome.com/homes-for-sale/2705-Crystal-Glenn-Circle-Hurst-TX-76054-387400606,20496375,N,32.86537,-97.1765
1921 Eden Avenue,Haltom City,TX,76117,Single Family,NEW LISTING,,12/17/2023 10:59:00 AM,299999,,,3,2,1298,0.254,1947,0,,,https://www.xome.com/homes-for-sale/1921-Eden-Avenue-Haltom-City-TX-76117-387400466,20496291,N,32.78607,-97.27202
412 Diamond Avenue,Fort Worth,TX,76102,Land,NEW LISTING,,12/17/2023 10:24:00 AM,70000,,,,,,0.077,,0,,,https://www.xome.com/landlots-for-sale/412-Diamond-Avenue-Fort-Worth-TX-76102-387400349,20496132,N,32.7655,-97.32294
410 Diamond Avenue,Fort Worth,TX,76102,Land,NEW LISTING,,12/17/2023 10:24:00 AM,70000,,,,,,0.083,,0,,,https://www.xome.com/landlots-for-sale/410-Diamond-Avenue-Fort-Worth-TX-76102-387400348,20496130,N,32.76538,-97.32288
3810 Byers Avenue,Fort Worth,TX,76107,Single Family,NEW LISTING,,12/17/2023 7:55:00 AM,450000,,,3,2,1479,0.138,2013,0,,,https://www.xome.com/homes-for-sale/3810-Byers-Avenue-Fort-Worth-TX-76107-387399742,20495616,N,32.73893,-97.37394
1101 Calico Lane Unit 1420,Arlington,TX,76011,Condo,NEW LISTING,,12/17/2023 6:55:00 AM,170000,,,1,1,792,0.048,1981,0,,,https://www.xome.com/homes-for-sale/1101-Calico-Lane-Unit-1420-Arlington-TX-76011-387399569,20495816,N,32.76671,-97.0944
5620 Swords Drive,Fort Worth,TX,76137,Single Family,NEW LISTING,,12/17/2023 6:40:00 AM,260000,,,3,2,1276,0.109,2002,0,,,https://www.xome.com/homes-for-sale/5620-Swords-Drive-Fort-Worth-TX-76137-387399547,20492360,N,32.89211,-97.26254
2818 Hollypoint Court,Arlington,TX,76015,Single Family,NEW LISTING,,12/17/2023 5:40:00 AM,440000,,,3,2,2278,0.225,2002,0,,,https://www.xome.com/homes-for-sale/2818-Hollypoint-Court-Arlington-TX-76015-387399419,20428083,N,32.69806,-97.13249
219 N Willow Street,Mansfield,TX,76063,Single Family,NEW LISTING,,12/16/2023 6:38:00 PM,359000,,,4,2,1508,0.2025,1974,0,,,https://www.xome.com/homes-for-sale/219-N-Willow-Street-Mansfield-TX-76063-387396593,20495336,N,32.57043,-97.12775
1115 Garvey Street,Fort Worth,TX,76102,Land,NEW LISTING,,12/16/2023 6:19:00 PM,70000,,,,,,0.1047,,0,,,https://www.xome.com/landlots-for-sale/1115-Garvey-Street-Fort-Worth-TX-76102-387396483,20496275,N,32.76696,-97.32798
4623 Barstow Boulevard,Dallas,TX,75236,Single Family,NEW LISTING,,12/16/2023 5:21:00 PM,629000,,,4,5,4581,0.82,2002,0,,,https://www.xome.com/homes-for-sale/4623-Barstow-Boulevard-Dallas-TX-75236-387396112,20496255,N,32.68181,-96.89855
1238 Lincoln Avenue,Fort Worth,TX,76164,Single Family,NEW LISTING,,12/16/2023 3:51:00 PM,189900,,,3,1,1348,0.161,1925,0,,,https://www.xome.com/homes-for-sale/1238-Lincoln-Avenue-Fort-Worth-TX-76164-387394866,20496249,N,32.77293,-97.35046
801 E Powell Avenue,Fort Worth,TX,76104,Single Family,NEW LISTING,,12/16/2023 3:36:00 PM,320000,,,3,2,1818,0.1446,2023,0,,,https://www.xome.com/homes-for-sale/801-E-Powell-Avenue-Fort-Worth-TX-76104-387394653,20496247,N,32.71988,-97.32115
3212 Ladera Drive,Bedford,TX,76021,Single Family,NEW LISTING,,12/16/2023 3:36:00 PM,389900,,,4,3,1895,0.11,2004,0,,,https://www.xome.com/homes-for-sale/3212-Ladera-Drive-Bedford-TX-76021-387394649,20480272,N,32.85644,-97.10538
7423 Gallo,Grand Prairie,TX,75054,Single Family,NEW LISTING,,12/16/2023 2:51:00 PM,355500,,,3,2,1789,0.16,2007,0,,,https://www.xome.com/homes-for-sale/7423-Gallo-Grand-Prairie-TX-75054-387394251,20492323,N,32.57557,-97.0551
2705 White Oak Drive,Grand Prairie,TX,75052,Single Family,NEW LISTING,,12/16/2023 2:36:00 PM,344900,,,3,2,1860,0.211,1994,0,,,https://www.xome.com/homes-for-sale/2705-White-Oak-Drive-Grand-Prairie-TX-75052-387394126,20496229,N,32.65105,-97.0489
201 W Louella Drive,Hurst,TX,76054,Single Family,NEW LISTING,,12/16/2023 2:06:00 PM,449000,,,4,4,2150,0.159,1978,0,,,https://www.xome.com/homes-for-sale/201-W-Louella-Drive-Hurst-TX-76054-387393790,20496221,N,32.84572,-97.16811
6014 Meadowside Trail,Arlington,TX,76017,Single Family,NEW LISTING,,12/16/2023 2:06:00 PM,245000,,,3,2,1620,0.136,1985,0,,,https://www.xome.com/homes-for-sale/6014-Meadowside-Trail-Arlington-TX-76017-387393787,20495992,N,32.64706,-97.12058
4921 Stephanie Drive,Haltom City,TX,76117,Single Family,NEW LISTING,,12/16/2023 2:06:00 PM,250000,,,3,1,1112,0.186,1955,0,12/17/2023 11:00:00 AM,12/17/2023 2:00:00 PM,https://www.xome.com/homes-for-sale/4921-Stephanie-Drive-Haltom-City-TX-76117-387393781,20495320,N,32.81941,-97.27635
2709 Mintwood Place,Arlington,TX,76016,Single Family,NEW LISTING,,12/16/2023 2:06:00 PM,285000,,,3,2,1381,0.172,1973,0,12/17/2023 1:00:00 PM,12/17/2023 3:00:00 PM,https://www.xome.com/homes-for-sale/2709-Mintwood-Place-Arlington-TX-76016-387393780,20495061,N,32.69957,-97.18597
1615 Dale Place,Irving,TX,75061,Single Family,NEW LISTING,,12/16/2023 12:03:00 PM,339000,,,4,2,1128,0.23,1954,0,,,https://www.xome.com/homes-for-sale/1615-Dale-Place-Irving-TX-75061-387392577,20496154,N,32.83151,-96.9323
2117 Brentgate Drive,Arlington,TX,76017,Single Family,NEW LISTING,,12/16/2023 11:03:00 AM,458000,,,4,3,2655,0.248,1978,1,,,https://www.xome.com/homes-for-sale/2117-Brentgate-Drive-Arlington-TX-76017-387392147,20493893,N,32.67105,-97.14417
1306 Liverpool Lane,Mansfield,TX,76063,Single Family,NEW LISTING,,12/16/2023 11:03:00 AM,450000,,,4,3,3196,0.22,2004,1,,,https://www.xome.com/homes-for-sale/1306-Liverpool-Lane-Mansfield-TX-76063-387392145,20484571,N,32.60595,-97.14541
1200 Highcrest Drive,Burleson,TX,76028,Single Family,NEW LISTING,,12/16/2023 11:03:00 AM,289000,,,3,2,1650,0.175,1996,1,,,https://www.xome.com/homes-for-sale/1200-Highcrest-Drive-Burleson-TX-76028-387392125,20494980,N,32.56292,-97.34066
2713 Whispering Trail Circle,Pantego,TX,76013,Single Family,NEW LISTING,,12/16/2023 9:49:00 AM,325000,,,4,3,2182,0.242,1976,1,,,https://www.xome.com/homes-for-sale/2713-Whispering-Trail-Circle-Pantego-TX-76013-387391338,20486032,N,32.72027,-97.15716
7116 Heritage Oaks Drive,Mansfield,TX,76063,Single Family,NEW LISTING,,12/16/2023 9:34:00 AM,1065000,,,4,4,3760,1.01,2009,1,12/17/2023 1:00:00 PM,12/17/2023 3:00:00 PM,https://www.xome.com/homes-for-sale/7116-Heritage-Oaks-Drive-Mansfield-TX-76063-387391250,20495820,N,32.5852,-97.20969
325 W 5th Street,Kennedale,TX,76060,Single Family,NEW LISTING,,12/16/2023 7:19:00 AM,278000,,,4,4,2137,0.129,1935,1,,,https://www.xome.com/homes-for-sale/325-W-5th-Street-Kennedale-TX-76060-387389732,20493324,N,32.64528,-97.22612
8009 Seneca Court,Fort Worth,TX,76137,Single Family,NEW LISTING,,12/16/2023 7:03:00 AM,355000,,,3,2,1779,0.186,1999,1,,,https://www.xome.com/homes-for-sale/8009-Seneca-Court-Fort-Worth-TX-76137-387389645,20495969,N,32.88676,-97.2892
3952 W Spurgeon Street,Fort Worth,TX,76133,Single Family,NEW LISTING,,12/16/2023 5:33:00 AM,259000,,,5,2,1950,0.193,1954,1,,,https://www.xome.com/homes-for-sale/3952-W-Spurgeon-Street-Fort-Worth-TX-76133-387389192,20496052,N,32.67609,-97.3791
2226 Fallbrooke Drive,Grand Prairie,TX,75050,Single Family,NEW LISTING,,12/16/2023 5:03:00 AM,460000,,,4,3,2445,0.276,2015,1,,,https://www.xome.com/homes-for-sale/2226-Fallbrooke-Drive-Grand-Prairie-TX-75050-387388852,20495670,N,32.77478,-97.04458
512 Mansfield Cardinal Road,Kennedale,TX,76060,Land,NEW LISTING,,12/16/2023 5:01:00 AM,135000,,,,,,0.42,,1,,,https://www.xome.com/landlots-for-sale/512-Mansfield-Cardinal-Road-Kennedale-TX-76060-387388855,20495246,N,32.64254,-97.21432
837 Springdale Road,Bedford,TX,76021,Single Family,NEW LISTING,,12/16/2023 4:33:00 AM,295000,,,3,2,1379,0.246,1969,1,12/17/2023 12:00:00 PM,12/17/2023 4:00:00 PM,https://www.xome.com/homes-for-sale/837-Springdale-Road-Bedford-TX-76021-387388817,20494852,N,32.85221,-97.15643
2005 Chrisman Trail,Mansfield,TX,76063,Single Family,NEW LISTING,,12/15/2023 9:01:00 PM,419000,,,3,2,1929,0.196,1993,1,,,https://www.xome.com/homes-for-sale/2005-Chrisman-Trail-Mansfield-TX-76063-387385072,20495891,N,32.60024,-97.10612
2912 Canberra Court,Fort Worth,TX,76105,Single Family,NEW LISTING,,12/15/2023 6:46:00 PM,225000,,,3,2,1185,0.152,1998,1,,,https://www.xome.com/homes-for-sale/2912-Canberra-Court-Fort-Worth-TX-76105-387381923,20496005,N,32.71601,-97.29171
320 Eastwood Avenue,Fort Worth,TX,76107,Single Family,NEW LISTING,,12/15/2023 5:46:00 PM,1095000,,,4,4,3664,0.258,1942,1,,,https://www.xome.com/homes-for-sale/320-Eastwood-Avenue-Fort-Worth-TX-76107-387380687,20495988,N,32.76246,-97.37163
1912 Emerald Place Unit 1122,Arlington,TX,76011,Condo,NEW LISTING,,12/15/2023 5:00:00 PM,189900,,,2,1,963,0.056,1981,1,,,https://www.xome.com/homes-for-sale/1912-Emerald-Place-Unit-1122-Arlington-TX-76011-387378582,20487431,N,32.76554,-97.09239
4621 Country Creek Drive Unit 1045,Dallas,TX,75236,Condo,NEW LISTING,,12/15/2023 4:29:00 PM,145000,,,2,2,1046,19.86,1974,1,,,https://www.xome.com/homes-for-sale/4621-Country-Creek-Drive-Unit-1045-Dallas-TX-75236-387378131,20495684,N,32.69754,-96.90072
