Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
2801 Cambridgeshire Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,11/21/2023 9:48:00 AM,449000,,,4,3,2200,0.206,1984,0,,,https://www.xome.com/homes-for-sale/2801-Cambridgeshire-Drive-Carrollton-TX-75007-386713131,20481178,N,32.99019,-96.91969
3622 Field Stone Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,11/21/2023 9:17:00 AM,680000,,,4,4,3994,0.163,1993,0,,,https://www.xome.com/homes-for-sale/3622-Field-Stone-Drive-Carrollton-TX-75007-386712520,20481132,N,33.0083,-96.91256
1726 Hartford Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,11/21/2023 8:32:00 AM,369900,,,3,2,1776,0.185,1978,0,,,https://www.xome.com/homes-for-sale/1726-Hartford-Drive-Carrollton-TX-75007-386711580,20476653,N,33.01413,-96.89522
2700 Old Denton Road Unit 3304,Carrollton,TX,75007,Condo,NEW LISTING,,11/20/2023 11:29:00 PM,575000,,,3,2,1959,6.59,2020,0,,,https://www.xome.com/homes-for-sale/2700-Old-Denton-Road-Unit-3304-Carrollton-TX-75007-386707007,20480930,N,32.98813,-96.90872
2309 Hillside Lane,Carrollton,TX,75006,Single Family,NEW LISTING,,11/20/2023 11:53:00 AM,340000,,,4,3,2419,0.239,1977,1,,,https://www.xome.com/homes-for-sale/2309-Hillside-Lane-Carrollton-TX-75006-386374998,20451114,N,32.97911,-96.90475
3614 Amanda Circle,Carrollton,TX,75007,Single Family,NEW LISTING,,11/20/2023 6:37:00 AM,390000,,,3,2,1642,0.146,1984,1,,,https://www.xome.com/homes-for-sale/3614-Amanda-Circle-Carrollton-TX-75007-386683572,20479660,N,33.00936,-96.90206
2700 Old Denton Road Unit 4404,Carrollton,TX,75007,Condo,NEW LISTING,,11/19/2023 5:47:00 AM,585000,,,3,2,1959,7,2022,2,,,https://www.xome.com/homes-for-sale/2700-Old-Denton-Road-Unit-4404-Carrollton-TX-75007-386671788,20479859,N,32.98813,-96.90872
1830 Auburn Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,11/18/2023 12:36:00 PM,525000,,,3,2,1955,0.139,2002,2,,,https://www.xome.com/homes-for-sale/1830-Auburn-Drive-Carrollton-TX-75007-386659279,20479751,N,33.02032,-96.88803
3823 Cemetery Hill Road,Carrollton,TX,75007,Single Family,NEW LISTING,,11/18/2023 10:18:00 AM,569900,,,3,3,2760,0.18,2000,3,,,https://www.xome.com/homes-for-sale/3823-Cemetery-Hill-Road-Carrollton-TX-75007-386657679,20478919,N,33.01533,-96.89263
3936 Indian Oaks Lane,Carrollton,TX,75010,Single Family,NEW LISTING,,11/18/2023 8:47:00 AM,600000,,,5,3,2850,0.204,1999,3,,,https://www.xome.com/homes-for-sale/3936-Indian-Oaks-Lane-Carrollton-TX-75010-386656756,20479714,N,33.01679,-96.9283
2700 Old Denton Road Unit 4449,Carrollton,TX,75006,Condo,NEW LISTING,,11/18/2023 6:32:00 AM,370000,,,2,2,1151,,2023,3,,,https://www.xome.com/homes-for-sale/2700-Old-Denton-Road-Unit-4449-Carrollton-TX-75006-386655532,20479202,N,32.98813,-96.90872
2301 Cardinal Boulevard,Carrollton,TX,75010,Single Family,NEW LISTING,,11/17/2023 4:44:00 PM,1375000,,,4,6,4833,0.182,2008,3,,,https://www.xome.com/homes-for-sale/2301-Cardinal-Boulevard-Carrollton-TX-75010-386645707,20473873,N,33.04794,-96.86472
3845 Alto Avenue,Carrollton,TX,75007,Single Family,NEW LISTING,,11/17/2023 4:11:00 PM,349900,,,3,2,1390,0.185,1984,3,,,https://www.xome.com/homes-for-sale/3845-Alto-Avenue-Carrollton-TX-75007-386644032,20466823,N,33.01746,-96.87388
1804 Ridge Road,Carrollton,TX,75006,Single Family,NEW LISTING,,11/17/2023 10:38:00 AM,325000,,,3,2,1381,0.234,1971,4,,,https://www.xome.com/homes-for-sale/1804-Ridge-Road-Carrollton-TX-75006-386631456,20476059,N,32.96326,-96.90652
1400 Santa Fe Trail,Carrollton,TX,75007,Single Family,NEW LISTING,,11/17/2023 10:08:00 AM,639900,,,4,3,3227,0.188,1992,4,,,https://www.xome.com/homes-for-sale/1400-Santa-Fe-Trail-Carrollton-TX-75007-386630459,20478511,N,32.99971,-96.9239
2100 Larkspur Drive,Carrollton,TX,75010,Single Family,NEW LISTING,,11/17/2023 9:53:00 AM,565000,,,4,3,3020,0.198,1990,4,,,https://www.xome.com/homes-for-sale/2100-Larkspur-Drive-Carrollton-TX-75010-386630013,20479181,N,33.02598,-96.87428
2220 Madison Street,Carrollton,TX,75010,Single Family,NEW LISTING,,11/17/2023 7:07:00 AM,599900,,,3,3,2441,0.092,2018,4,,,https://www.xome.com/homes-for-sale/2220-Madison-Street-Carrollton-TX-75010-386625697,20457030,N,33.04155,-96.86989
2013 Via Bravo,Carrollton,TX,75006,Townhouse,NEW LISTING,,11/16/2023 11:51:00 PM,280000,,,2,2,1176,0.063,1977,4,,,https://www.xome.com/homes-for-sale/2013-Via-Bravo-Carrollton-TX-75006-386621898,20478870,N,32.96814,-96.86702
1016 E Seminole Trail,Carrollton,TX,75007,Single Family,NEW LISTING,,11/16/2023 5:03:00 PM,450000,,,4,2,2180,0.193,1996,4,,,https://www.xome.com/homes-for-sale/1016-E-Seminole-Trail-Carrollton-TX-75007-386603158,20477047,N,33.01366,-96.91094
2636 Via Cordova,Carrollton,TX,75006,Townhouse,NEW LISTING,,11/16/2023 4:07:00 PM,280000,,,3,2,1472,0.0588,1973,4,,,https://www.xome.com/homes-for-sale/2636-Via-Cordova-Carrollton-TX-75006-386598772,20478345,N,32.96957,-96.86571
1415 Shannon Place,Carrollton,TX,75006,Single Family,NEW LISTING,,11/16/2023 10:05:00 AM,500000,,,4,3,2518,0.239,1974,5,,,https://www.xome.com/homes-for-sale/1415-Shannon-Place-Carrollton-TX-75006-386582897,20462305,N,32.97919,-96.90248
2225 Shakespeare Street,Carrollton,TX,75010,Single Family,NEW LISTING,,11/16/2023 9:19:00 AM,799900,,,3,4,3146,0.15,2010,5,,,https://www.xome.com/homes-for-sale/2225-Shakespeare-Street-Carrollton-TX-75010-386598526,20475857,N,33.05083,-96.86414
2245 Bay Shore,Carrollton,TX,75006,Single Family,NEW LISTING,,11/16/2023 8:01:00 AM,500000,,,3,2,1849,0.23,1983,5,,,https://www.xome.com/homes-for-sale/2245-Bay-Shore-Carrollton-TX-75006-386580186,20473625,N,32.97485,-96.87993
3835 Kelly Boulevard,Carrollton,TX,75007,Single Family,NEW LISTING,,11/16/2023 6:46:00 AM,475000,,,3,3,2382,0.193,1985,5,,,https://www.xome.com/homes-for-sale/3835-Kelly-Boulevard-Carrollton-TX-75007-386578747,20478177,N,33.01717,-96.86196
2635 Via Cordova,Carrollton,TX,75006,Single Family,NEW LISTING,,11/16/2023 4:46:00 AM,300000,,,4,3,1562,0.071,1973,5,,,https://www.xome.com/homes-for-sale/2635-Via-Cordova-Carrollton-TX-75006-386577763,20475126,N,32.96989,-96.86581
2240 Tarpley Road Unit 184,Carrollton,TX,75006,Condo,NEW LISTING,,11/15/2023 6:50:00 AM,239900,,,3,2,1083,11.221,1982,6,,,https://www.xome.com/homes-for-sale/2240-Tarpley-Road-Unit-184-Carrollton-TX-75006-386544618,20476645,N,32.97121,-96.85051
1317 Bradbury Dr Drive,Carrollton,TX,75007,Single Family,NEW LISTING,,11/14/2023 11:02:00 AM,539000,,,4,3,2508,0.1928,1999,7,,,https://www.xome.com/homes-for-sale/1317-Bradbury-Dr-Drive-Carrollton-TX-75007-386524358,20474117,N,33.00558,-96.91708
