Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
311 Butternut Way,Irving,TX,75063,Single Family,NEW LISTING,,11/20/2023 5:43:00 PM,1750000,,,4,5,3402,0.18,2017,0,,,https://www.xome.com/homes-for-sale/311-Butternut-Way-Irving-TX-75063-386701658,20480851,N,32.91635,-96.94761
1604 Cottonwood Valley Circle,Irving,TX,75038,Single Family,NEW LISTING,,11/20/2023 11:08:00 AM,1100000,,,4,4,3166,0.393,2000,1,11/25/2023 1:00:00 PM,11/25/2023 3:00:00 PM,https://www.xome.com/homes-for-sale/1604-Cottonwood-Valley-Circle-Irving-TX-75038-386689762,20448827,N,32.863,-96.97041
414 Sandra Drive,Irving,TX,75060,Single Family,NEW LISTING,,11/20/2023 7:52:00 AM,249000,,,3,1,1056,0.231,1949,1,,,https://www.xome.com/homes-for-sale/414-Sandra-Drive-Irving-TX-75060-386684735,20478071,N,32.81019,-96.9555
404 Norma Drive,Irving,TX,75061,Single Family,NEW LISTING,,11/19/2023 9:03:00 AM,350000,,,4,3,1944,0.238,1953,2,,,https://www.xome.com/homes-for-sale/404-Norma-Drive-Irving-TX-75061-386673457,20479950,N,32.81851,-96.97234
1926 Dennis Street,Irving,TX,75062,Single Family,NEW LISTING,,11/18/2023 11:23:00 PM,235000,,,3,1,1063,0.156,1958,2,,,https://www.xome.com/homes-for-sale/1926-Dennis-Street-Irving-TX-75062-386667799,20479920,N,32.85011,-96.97103
813 S Rogers Road,Irving,TX,75060,Single Family,NEW LISTING,,11/18/2023 9:47:00 AM,410000,,,3,2,1938,0.918,1954,3,,,https://www.xome.com/homes-for-sale/813-S-Rogers-Road-Irving-TX-75060-386657374,20476646,N,32.80508,-96.96333
9418 Penny Lane,Irving,TX,75063,Single Family,NEW LISTING,,11/18/2023 8:47:00 AM,325000,,,3,3,1678,0.1501,1986,3,,,https://www.xome.com/homes-for-sale/9418-Penny-Lane-Irving-TX-75063-386656755,20477650,N,32.93407,-96.9562
4159 Nia Drive,Irving,TX,75038,Townhouse,NEW LISTING,,11/18/2023 7:47:00 AM,440000,,,4,3,1940,0.088,2016,3,,,https://www.xome.com/homes-for-sale/4159-Nia-Drive-Irving-TX-75038-386656251,20477003,N,32.86045,-96.98137
7205 Haven Court,Irving,TX,75063,Single Family,NEW LISTING,,11/18/2023 7:32:00 AM,900000,,,5,5,4120,0.206,2018,3,,,https://www.xome.com/homes-for-sale/7205-Haven-Court-Irving-TX-75063-386656094,20477075,N,32.90685,-97.00235
1130 Singleton,Irving,TX,75060,Single Family,NEW LISTING,,11/17/2023 4:11:00 PM,349000,,,5,2,1878,0.238,1956,3,,,https://www.xome.com/homes-for-sale/1130-Singleton-Irving-TX-75060-386644042,20479544,N,32.80182,-96.92068
